标题,内容
"我妈妈脚后根痛,说是和针刺一样的痛,去拍片说是没有问题",足跟的问题，又可以称作：跟腱炎，内服药是肯定没什么效果的，因为该症状一般出现在老年人身上，而老年人经络一般均不太通畅，所以内服药很难通过气血流通到达病灶部位，故此效果不太好。而外敷药，由于那个部位的皮很硬（又称作死皮），所以外敷药也很难打透这层死皮到达患处。洋洋洒洒说了这么多，唯一的重点就是希望你不要乱花钱，给你省点小银子。治疗此症，用白醋泡干辣椒(一斤白醋泡2两干辣椒，干辣椒要掰碎浸泡)，至少浸泡一周后（浸泡的时间越长效果越好），涂抹患处，每日三到五次，每次10分钟左右，大概20天左右就不再疼了。 
足底大拇指与食指跟部中央位置疼痛，是何病症？如何治,你好，是腱鞘炎。外用扶他林。自我按摩，口服芬必得。无效考虑封闭治疗。 
第一腰椎压缩性骨折,"你好,拍个CT片看看,可以明确诊断.不明之处可以去诊室咨询及时联系我，我定会尽力的去帮助每位患者朋友. "
请问能通过饮食对脚踝消肿吗?,你好，中药效果好。饮食没用。 
"打篮球崴了脚,好久都没消肿,要怎么做才能消肿",建议外敷中医外科膏药-金创活络膏，由于膏药用于肌表薄贴。因此可透入皮肤产生消炎，止痛，活血化淤，通经走络，开窍透骨，祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的，金创活络膏是一种民间传统黑膏药，直接外敷即可，不影响日常工作生活，无副作用。 
"12月31号的时候,跟同事出去就餐的时候,把脚扭了",你好。治疗不当引起。抬高患肢最关键。口服愈伤灵即可。一般需要3周时间。 
"我妹妹今年十九岁,老是说腿疼,走路稍长也说疼","考虑是生长性疼痛,建议去医院做个骨拍片及血常规,抗O等相关检查,排除有无病变的可能. "
妈富隆的使用与腿部外伤,
偶想问下，脚部和腿部骨折痊愈后能想正常人那样走路么,
"这3个月来我手越来越软,而且经常的痛",你好，排除颈椎问题。医院检查确诊。 
我上个月骑摩托摔了一下`右手腕处,描述的这种情况，我的分析可能是由于外伤后引起的局部软组织粘连，血液循环咋造成的？这种情况并没有什么大问题，需要你暂时不要过度的疲劳，局部可以做下热敷或者理疗，口服一下活血化瘀的药物
"我现在用的是七厘散,外敷内用,这样可以吗",你好，对于肩关节脱臼，多会造成韧带损伤，影响关节弯曲活动，最好了是选用中医治疗，一般早期治疗，外敷用药25天就可以使命牢固，恢复正常，建议选用纯野生山林药材修复韧带。如果长时间得不到修复，关节弯曲会很难恢复正常。忌吃公鸡，牛肉和姜。多平躺休息，少活动手臂。 
如何确诊滑膜炎.我的,"滑膜炎是滑膜受到刺激产生炎症，造成分泌液失调形成积液的一种关节病变．滑膜细胞分泌液体，可以润滑和滋养关节，机体运动时关节所产生的热能全赖于滑膜液体及其血液循环而得以散发。当关节受外在性和内在性因素影响时，滑膜发生反应，引起充血或水肿，并且渗出液体，表现为关节肿胀，痛疼，功能受障碍。也可说关节腔有积液，就有滑膜炎症。医学研究确认：膝关节滑膜炎、踝关节滑膜炎、髋关节滑膜炎、滑囊炎、创伤性关节炎、创伤性滑膜炎、骨关节炎、腰椎间盘突出、骨质增生、类风湿性关节炎、腰腿疼等疾病。产生的疼痛原因是滑膜发炎造成，所以最后归结为治疗滑膜炎。传统中医外科膏药贴敷可治疗急慢性滑膜炎。传统中医外科膏药是一种传统黑膏药,.膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能从而增进关节及周围组织的血液循环，保护滑膜，改善营养状态，减少炎症渗出，促进关节液吸收，以解除关节僵硬、水肿、疼痛症状。促进功能恢复而达到治愈目地。既避免了单服止痛药引起胃肠不适的弊端，又无手术治疗痛苦及术后并发症的发生,不影响正常生活.使患者安全、经济、快速的解除病痛. "
孟老师：你好！请问造成骨筋膜室综合症的原因什么？,尊敬的患者朋友，很高兴为您解答问题，对于您目前咨询的问题来看，骨筋膜室综合征是指骨筋膜室内的肌肉和神经因急性缺血、缺氧而产生的一系列早期症候群。建议您去当地医院做相关检查可以确诊是否为骨筋膜室综合症以便及时治疗。
"我今年５３岁,男性,最近两年发现右膝盖冬天时走平路",可以到医院找骨科医生检查一下，或者做MRI检查，排除一下半月板损伤的可能！如果可以排除，就考虑老年性骨关节病了！ 
前交叉韧带拉伤如何治疗？,你好！前交叉韧带损伤如果断裂，膝关节前抽屉实验阳性，还是应该考虑手术治疗的！既然已经石膏外固定了3周，说明前交叉韧带没有完全断裂！现在膝关节功能受限，应该多进行膝关节的功能锻炼！等膝关节功能恢复了，在看是否有关节不稳！再决定是否需要二期手术治疗！ 
小腿肌肉拉伤，现有胀痛感，有时脚跟不能着地．请问专,您的情况急性期如果疼痛可以局部热敷休息外用喷雾剂。膏药也可以。疼痛严重可以口服止痛药物，同时注意休息避免劳累受凉，严重需要去正规医院检查一下磁共振排除韧带损伤比较好。确实损伤暂时固定保护，注意休息，暂时减少活动，定期复查，疼痛严重还需要排除其他引起腿部疼痛的原因比如下肢血管疾病等情况
我剖腹产都2个月了为什么我的脚总是会麻？,你好！很高兴为你解答。根据你的描述，你现在出现这样的情况，应该到医院去做一下检查，看看是否有血栓的情况。如果没有，可以做一下物理治疗。
请问：软组织挫伤是否能引起骨筋膜室综合症？,你好，依据你的描述，软组织挫伤可以引起骨筋膜室综合症，建议到医院创伤外科就诊，明确诊断，然后给予切开减压，抬高患肢利于消肿！
脚崴了，还没好！！！,你好，伤筋动骨100天，需要一个恢复过程，不能操之过急，建议慢慢静养，会好起来的。 
距骨骨折后为什么脚面无法向上翘？,你好，关节粘连有关，积极锻炼就是。 
关于脚筋断。,你好，一般手术。1000左右，安全。恢复需要6周。 
骨折多少天能下地,你好，一个月了。可以适当翻身，按摩手压皮肤。下床最少也要3个月。 
老师：你好！请问造成骨筋膜室综合症的原因什么？,你好，外伤后骨折引起。早期手术减压，预防坏死。 
右脚踝骨腓骨骨裂，已将近100天了，还未消肿这正常,你好，骨折一般是需要三个月左右的时间才能愈合，但是要想完全恢复得需要半年的时间。你的情况是恢复的比较慢的，现在主要任务是加强肢体的功能锻炼，可以配合热敷理疗按摩，以促进局部血液循环，帮助恢复。
趾骨骨折恢复期,目前的情况是脚趾的地方存在骨折，一个月的时间恢复良好，但是这个时候骨折还没有彻底愈合，一般来说至少需要差不多三个月以上，才可以逐渐的负重，过早的负重可能会骨折错位。
"4年前长途爬山之后就患上脚疼,后脚跟重",你好，筋膜炎，封闭一针就好了。坚持热水泡脚，自我按摩即可。 
膝关节镜术后,根据你的情况告诉我，这种现象是正常的，不要太担心。但是现在还不能进行这么高强度的体育运动训练，可以适当地逐渐地行走，注意休息，避免劳累，避免外伤。
关于姆外翻,这个矫正手术现在很成熟，已有很多年的历史了，手术不大，术后不会复发，到条件稍好的医院骨科就可以做，疼痛可以叫医生打止痛针或口服止痛药，无需太担心。 
我母亲五十三岁，前一段时间膝盖内侧下面扭到一根筋,
小腿的筋弯了怎么办!!!!,你好啊！建议拍片子排除腰椎间盘突出和腰椎滑脱的疾病！如果能排除了就可以做对症治疗了，适当服用些镇痛的药物啊 
我的脚还会好吗,根据你的叙述，你很可能有外踝骨折，从时间上来计算，你现在还处于恢复期，还需要做一些恢复功能性的锻炼，能恢复到以前的一样的！ 
"一年前在一次篮球比赛中扭伤了脚踝,当时也没感觉到不适没做任何措施",你好。片子看不太清除，但没有大问题。可以参加体育活动。避免扭伤，着凉即可。 
椎间盘突出,像你这种问题，一般是因为陈旧性创伤所引发的韧带粘连造成，针对此症，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结疗效甚佳。用此药将粘连的位置分离开，症状自然就消失了。祝你好运 
是扭到了？还是骨折？,可以X光片确定是否骨折。考虑是扭伤的可能大。因处理不当，所以会肿胀。可以用愈伤灵治疗。 
核磁共振价格,建议做磁共振，因为膝关节方面的检查，最好的就是磁共振，虽然价格可能贵一些，但是，只有磁共振能查的全面，它可以看到韧带，半月板是否有损伤，关节腔内有无积液等情况。而X线片只能看到骨骼方面的，CT只能看到骨骼，软组织方面的，但对韧带及半月板看不到。好长时间不好，并且想查明白的话，建议你做磁共振。我们山东的磁共振价格是膝关节600元，你在广州，当地的价格可能与我们这里不一样，可以咨询一下。打个120咨询一下就行。电话费是免费的。祝你早日康复。 
我的脚怎么办,
好象是腱鞘囊肿请医生诊断,腱鞘囊肿：是发生在关节或腱鞘周围的半球状囊性而且有弹性的肿块，内含胶冻样物质。病因尚不清楚，好发于腕背及足背，可能与慢性外伤有一定关系。腱鞘囊肿，治疗本病，一般采用挤压法，用手将囊壁挤破，囊内液体流到皮下，漫漫吸收后就痊愈了．不过本病容易复发，只能反复治疗了． 
"脚无力,早晨起床后僵硬,疼痛",你好：像你这种情况，可以考虑跟骨骨刺综合征 
我家女儿今年11岁近半年试过几次早上起床后行走说,你好，只有手术，一般疼痛剧烈或严重影响外观时手术。避免着凉，可以外用膏药。一般18岁手术效果彻底，不易复发。 
我前交叉韧带拉伤，休息一个半月，现在腿不能回弯了，,
"脚骨裂了需要注意些什么,晚上睡觉总是疼的难受,需要","你好,脚骨裂了需要注意休息时抬高患肢,患肢低下放置个枕头,可以帮助血液循环,不要用患肢下床负重活动.可以在床上活动患肢的各个关节及脚趾.以免引起肌肉萎缩.建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物治疗,可以帮助骨折提前愈合,恢复的快些. "
脚心处长有一肿物,"可以做个B超,即可,我认为是纤维瘤,可以手术后再做个病理即可正确诊断 "
大概一年前我座腿髌骨受过伤｀上起钢筋今年６月份取了,你的问题是由于手术后缺乏功能锻炼导致肌肉萎缩造成的，只要你坚持股四头肌的舒缩锻炼，可以恢复到以前一样的！不会遗留后遗症！具体需要多长时间，主要由你锻炼的情况决定！ 
膝关节损伤,根据你的情况，还是考虑行膝关节镜治疗，如果半月板损伤不是很厉害，可可仪做半月板刨削治疗！ 
"我今年24岁,我在6年前在一次赛跑中可能是因为步","你好,这样的治疗就可以的,平时注意保养,2年内不要做剧烈运动. "
"骨囊肿治疗好后,囊肿处的包会消失吗?",你好，痊愈后应该消失，医生不是说好转了吗。定期复查就是。 
小腿骨折了，用什么样的医疗方案,手术治疗较好，采用髓内针固定非常好。 
打球的时候把右脚崴了！！！！！！！！！！！,你好，根据你的描述建议你先到医院拍个片子排除是否有骨折！如果没有骨折考虑是软组织挫伤，建议48小时之内冷敷过了这个时间段可以热敷近期减少活动
跟骨骨刺怎么治？,跟骨骨刺是老年人的多发病。多数人因为脚后跟长骨刺，引起滑囊无菌性炎症造成的疼痛。长了骨刺并不一定开刀才能治好脚痛，只要防止骨刺周围的滑囊发炎便能防治脚痛。常用的方法是经常用热水烫脚，少做剧烈的跑跳活动，也可用理疗、针灸、按摩的方法治疗。 
"骨囊肿治疗好后,骨囊肿处的包会消失吗?",你好！骨囊肿注射甲基强的松龙是一种办法！还可以局部手术治疗，进行局部刮除，酒精灭活植骨手术治疗1一般不会复发`！ 
扭伤脚怎么办,
女392003年7月始右侧踝关节疼痛一直服用止痛,
女392003年7月始右侧踝关节疼痛一直服用止痛,
392003年7月始右侧踝关节疼痛一直服用止痛剂和活血化淤中,
右脚脚踝疼痛,"建议拍X光片,骨骼或韧带没有损伤就可以做理疗,坚持做10天左右,满意就采纳答案 "
膝关节韧带拉伤后期该怎么恢复？,你好，很高兴为你解答，根据你的描述，考虑是内侧福韧带损伤，建议休息，一般损伤后石膏固定四周，然后下地活动，慢慢恢复，预后还是不错的！
我母亲今年59岁了从去年就感觉膝盖骨缝老疼但是一会儿就好有时,"你好：这种情况很可能是骨质增生。治疗可用外敷中医外科膏药，中医讲求穴位,由于膏药用于肌表薄贴,此膏药可透入皮肤产生消炎，止痛，活血化淤，通经走络，开窍透骨，祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的，现在这样药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显 "
我不知怎么办，望专家们根据我的病情和照片为我提出治疗方案,"你好!现在软组织有炎症.已经是老伤.过10天还没好,建议用草药外敷.见效快,能痊愈. "
"髌骨骨折后骨头恢复效果不错,但如何有效恢复腿的弯曲功能",
踝间骨骨折受过伤天冷如何保养,你好，是的，创伤性关节炎。护膝保护。 
腓骨末端骨折，2个月还未好,"你好,右脚左踝很疼,主要因为骨头损伤未恢复造成的.只要骨头愈合就可以恢复正常.踝关节不能弯曲过大,下楼困难,这主要的原因是踝关节韧带损伤造成的症状.只要修复韧带就可以恢复正常.(韧带损伤造成的症状,很多病人和医生都会忽略或不知如何治疗,解决问题,所以造成病人长时间不能得到正常的活动.)建议你选用中医治疗,最好选用纯野生山林药材外敷,骨头损伤,一般用药25天左右就可以愈合牢固,恢复正常的行走,韧带损伤需要外敷用药25到30天就可以修复,关节弯曲恢复正常.忌吃公鸡,鲤鱼,酸笋,牛肉和姜.西药忌用,特别是含激素的药物.建议卧床休息,不宜过早过多的活动,以免影响骨头愈合,也不宜强制弯曲关节,以免加重韧带损伤. "
我的脚跟长了足刺，刚,跟骨骨刺的一般治疗方法：1.对症治疗2.封闭治疗2-4次.3.口服中药补肝肾强筋骨辩证治疗.4.热水泡脚每天坚持.一般患者一月即可康复. 
请求您给我指点迷津,你好，正常，手术后粘连引起，坚持按摩即可。 
右手手碗上靠左的骨头周围疼痛,你好，腱鞘炎。骨科检查，外用膏药，按摩，口服芬必得，无效考虑封闭治疗。常抱小孩有关系。 
类风湿点会有这种病的呢?以后身体会不会有性命危险?,"你好：急性脚扭伤因为肌肉组织等卒受暴力扭转、牵拉等损伤引起。舒筋通络，活血止痛是治疗本症的原则。治疗可用外敷中医外科膏药，中医讲求穴位,由于膏药用于肌表薄贴,此膏药可透入皮肤产生消炎，止痛，活血化淤，通经走络，开窍透骨，祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的，现在这样药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显 "
有的时候起脚，感觉脚踝压下去的方位不是很正，就感觉,你好!你的治疗方法不可能根治.建议用草药外敷一次见效或痊愈. 
脚扭伤，急求医生建议,"你好,你姐的情况应该去医院拍片看看骨头有没有问题.平时需要抬高患肢,患肢低下放置个枕头,可以帮助血液循环.尽量不要用患肢负重活动.还有什么不明之处可以去诊室咨询及时联系我，我定会尽力的去帮助每位患者朋友. "
我的小手指头在几年前上班的时候被机台搅弯了，现在如,
医生您好，我骨折在民间敷药治疗，有个疑问！,患者提到的情况建议及时到医院进行拍片检查，明确骨折的愈合程度。对于此类情况患者还是应该慎重对待的，因为部分骨折采用民间服药治疗的办法，往往会造成一定的延误病情，因为民间疗法很多时候不拍片不能够完全明确骨折的严重程度。
"我岳的脚板底生了骨刺现在走路都有一点痛,当时看了中医服食了一些活血的药",你好，骨刺的产生是脊椎因应退化而自行补强的一种现象，一般来说，如果没有压迫到神经的话，其实不需过分担心，随著年龄增加，每个人或多或少都会有长骨刺的情形，而X光上出现骨刺也不见得就需要接受治疗，只有在骨刺压迫到神经引起其他症状时，才需要进一步接受治疗。药物治疗骨刺如果症状不是很严重的话，可以使用单纯的止痛药、消炎药、镇静剂及肌肉松弛剂或非类固醇抗炎止痛剂，如阿斯匹灵、普拿疼等，减轻疼痛，使症状获得缓解。复健治疗治疗骨刺也可以采热敷、超音波、电刺激、头部牵引术等方法。热敷是为了增加局部病态组织血液循环，改善肌肉的缺血现象；电刺激与超音波则是为了促进较深部肌肉构造血液循环；头部牵引则有拉开神经孔、增加局部血液循环与减少关节负担的作用。手术治疗当药物治疗或是复健治疗3个月以上，仍无法改善症状时，就必须进一步施以手术治疗。初期可以进行后减压手术，将压迫神经的骨刺移除，这些手术包括椎板切除术、椎间盘切除术及椎体切除术；中期可接受脊椎内固定手术，以内固定气固定脊椎骨，再加上自体骨移植，以达到骨融合的目的；此外，利用「椎体护架」，可同时达到神经减压及脊椎矫正的效果。对於长期退化的脊椎，在作手术修复时，可重整变形的脊椎，降低病变处的负荷；而若是关节已经全面性遭到破坏时，就须施行人工关节置换手术，以恢复关节的功能。运动治疗当关节没有发炎时，可以试著从事一些加强大腿、臀部的肌力训练及拉筋的运动，减轻关节的负荷。其他像是游泳、脚踏车、在平地上步行，或是轻度的有氧运动，可以充分活动关节，并可以强化大腿肌力，也是不错的选择。中医针伤治疗可以疏经通络的中药在患部做药气薰蒸或是拔罐，以促进局部气血循环，达到放松筋骨的功效；不同的骨刺部位施针不同的穴位，采电针加强止痛效果，或对虚寒体质的患者，以艾?做针上灸温通经脉。其他治疗方式可穿戴背架，藉以保护关节或是用来矫正关节排列不良的情形；此外，由於下肢负重而导致膝关节罹病的患者，可藉著减轻体重，在维持理想体重下，而降低对关节的损伤。如满意请采纳支持。 
"泪风湿究竟点样处理,有得切底治疗吗?","【治疗方案及原则】治疗必须以多种疗法并进。一方面注意全身营养、药物和物理疗法；另一方面注意防止和矫正畸形，加强功能锻炼。待病变基本控制后，再进行改善功能的治疗。1、全身治疗：包括在急性发作期的卧床休息，慢性患者可采取短期休养或轻工作。食物以均衡并富于营养为主。2、药物治疗如雷公藤、水杨酸钠、阿司匹林和金盐制剂等药物，有一定的使用价值。抗炎松、保泰松和消炎痛具有一定的抗风湿和消炎作用。可的松和促，肾上腺皮质激素可获得初步疗效，但不能持久使用。以上药物均须严格掌握禁忌症和并发症。3、局部治疗：包括理疗和预防畸形的措施。4.传统的治疗方法有：口服中药,推拿按摩、扳机点注射、湿热疗法、伸展疗法、肌肉松弛剂、经皮电刺激疗法、局部缺血压迫疗法、表面镇痛药、针刺治疗、三环抗抑郁药、局部麻醉药、抗炎药物、α-肾上腺素能激动剂.5.可以采用中医药的治疗钠骨息痛胶囊42次每日健膝通痹胶囊32次每日6.长期的服用激素类药物可以影响生育的问题。 "
"女35岁,双腿膝盖以下不敢使劲,酸痛,阴天下雨痛的",受凉引起的湿寒堆积，推拿、按摩，将寒气推出来。然后用：防风、麻黄、羌活、生地、艾叶、川椒、牛膝、木瓜、杜仲、当归、寄生各12克鸡血藤：20克，清风藤：20克，红花：15克，鲜姜：30克以上为一付，可泡三天。泡脚。很快就好祝你好运！！！ 
左脚踝骨外侧下的时疼，之后不疼,你好。关节炎。自我按摩，外用膏药。避免着凉。 
双脚粉碎性骨折,
双脚长期以来感觉疼痛,您好：您这个是拇趾外翻，可以选择手术治疗 
脚踝骨下面痛(内侧),
脚裸骨肿大,你的这个我认为用云南白药气物剂就可以了。 
我妈胳膊麻，还疼，晚上特别厉害,建议检查颈椎、腰椎X光片，排除颈椎病和腰椎骨质增生。老人的情况考虑由于颈椎病引起的可能性比较大，可以进行牵引、理疗及药物治疗。如果有条件，可以进行骨密度检查，排除骨质疏松。 
请问医生我早上起来脚心出汗是什么病呀,你好，建议腰椎CT检查，排除椎间盘突出。 
脚踝严重扭伤,不是什么筋出槽，而是外伤引起的韧带粘连，从而使某些动作受限。针对此症，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结疗效甚佳。用此药将粘连的部位分离开，症状自然消失。祝你好运 
胫骨平台关节面硬化怎么办？,针对令慈的具体症状及检查结果，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结疗效甚佳。祝令慈大人好运 
胫骨骨折问题,"你好,目前你行走过多还会觉得累,这和骨折没有愈合是有关系的,平时还是减少剧烈活动,休息时抬高患肢,患肢低下放置个枕头,可以帮助血液循环.引起骨折不愈合的原因很多;局部的学运不良,整复不良,牵引失当或过度,固定不良或不足,不合理的早期活动,金属内固定器材质量不佳或使用不当,伤口感染,这只是其中的几个原因.还有什么不明之处可以去诊室咨询及时联系我，我定会尽力的去帮助每位患者朋友.建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物八仙接骨宝治疗,可以帮助骨折提前愈合 "
筋膜炎是什么病啊？,
右腿脚踝部腓骨斜向裂开，采用民间敷药加正骨手法医治,"你好,不管用什么方法治疗都需要休息,平时抬高患肢,患肢低下放置个枕头,可以帮助血液循环.不要用患肢下床负重活动,可以在床上活动患肢的各个关节及脚趾.以免引起肌肉萎缩.还有什么不明之处可以去诊室咨询及时联系我，我定会尽力的去帮助每位患者朋友.建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物八仙接骨宝治疗,可以帮助骨折提前愈合. "
有两个脚趾甲逐渐长得变厚了，若剪它，感觉疼，不知该,"建议去皮肤科看看,考虑是真菌引起的. "
腓骨问题（骨折，骨裂，保养）,你好，创伤性关节炎。避免剧烈活动。理疗最好。 
我的脚底板最近老是麻木，是怎么回事，我不知道问题在,是神经的问题，需要检查腰椎和盆腔疾病． 
"踝关节韧带扭伤已三个多月;还略见肿胀机能已恢复,略","不要按摩拔罐及针灸,主要是照射理疗,请采纳答案 "
右脚骨根骨裂怎么治疗和如何能更好的治疗,你好，目前跟骨骨折20天，骨折还没有形成牢固的骨痂，所以这个时候应该避免着地，如果实在不方便，需要回家的话，建议买一副双拐，患肢尽量不要着地，休息期间患肢抬高。
为什么踝关节韧带损伤针灸后越来越肿,"你好,软组织损伤和韧带拉伤是不可以针灸和按摩的.损伤后需要减少活动,抬高患肢,可以帮助血液循环,不要用患肢下床负重活动.疼痛部位用热毛巾热敷.条件允许可以用石膏固定一段时间.建议你服用专业的接骨续筋,消肿止痛，舒筋活络,活血化瘀药物八仙接骨宝治疗,5天症状明显减轻,20天就可以治愈.还有什么不明之处可以去诊室咨询及时联系我，我定会尽力的去帮助每位患者朋友. "
为什么膝盖以下在下雨下雪刮风天气酸疼?,膝关节痛是颈椎病的一个病症，我在我的博客上发有关于膝关节痛的病例和见解，选摘一段供你参考。关于膝关节疼痛的争论膝关节疼痛，是临床上常见病，有人统计，有30%左右的中老年人患有不同程度的膝关节疼痛。长期以来，对膝关节病的认识一直局限在膝盖子上，就膝盖论膝盖，认为膝关节的正常老化（骨质增生和滑膜增生）和磨损，是造成膝关节疼痛发炎的最常见的原因，膝关节发炎、关节撞伤、关节错位等，也会造成关节疼痛。但是，却忽略了脊椎、脊髓在膝关节病变中的特殊作用。自2002年12月至今，我用李氏正脊手法矫正颈椎关节错位治疗了200多例膝关节病变，有的即时治愈，有的3-15天治愈，最长的2——3个月治愈。这些患者就诊时，大都经过了一个长期的治疗过程，有的甚至时断时续历经数十年。患者在陈述时普遍说道：在过去的医治膝关节疼痛过程中逐步得出了膝关节病治不好的结论。2006年7月，一位姓刘的女士和她的先生一起来到诊所咨询。她说：我的膝关节疼痛已超过4年了，在邓州、南阳、郑州多家医院治疗过，结论使关节退行性病变，骨质增生，治不好。某医科大学的一位骨科专家指着自己的膝盖告诉她，自己就患有这个病，治不好。需要出门办事时，就打一针封闭针，完事后尽量少活动，多休息。劝她放弃治疗。这位就诊的患者说：到我这里只是问一下，对自己的心安慰一下，如果我这里治不好，自己就放弃治疗了。我告诉她，我认为膝关节的病变可能是颈椎病的一个病症，要求她拍颈椎X光片确诊。刘女士和先生乍一听我说膝关节疼痛可能是颈椎病的病症之一，都不由得笑起来，脱口而出：不可能，经历数年的治病历程，专家找了几十个，从来没有人说膝关节疼痛与颈椎有联系。我告诉他们，正是过去没有人认识到这一点，所以膝关节疼痛才成为看似简单，医治起来又十分复杂的医学难题——准确说：传统的医学在理论上对膝关节病变认识不全面，实践上方法同样不全面，才使本来不复杂的膝关节病变成为疑难病。听了我的解释，将信将疑的刘女士夫妻一起到医院拍了颈椎X光平片。片子显示颈椎关节有滑脱、错位。即对其进行手法治疗。治疗一次有效，两次显效。第二次治疗后即要求其早晨跑步锻炼。刘女士感到十分诧异，无论在什么地方看病，医生都告诉她要少跑路、多休息，她已经两年多没有跑过路，平时出门都是先生用老年三轮摩托拉着走的，晨练跑步早成奢望，是敢想不敢做的事。我告诉她，我主张在运动中治疗、在运动中康复，鼓励她大胆的锻炼。从第三天早晨起，刘女士开始晨练跑步。第一次跑了500米左右，第三次跑了1500米。第三次后，刘女士主动锻炼，早晨跑步不再注意距离，坚持每天早晨5：30——7：00锻炼一个多小时，现在晨练已成习惯。通过正脊治疗，刘女士的膝关节康复了，她深有感触地说：前些年到处求医，实际上是走了弯路。 
我的右脚脚面骨头隆起,"你好!脚面骨头隆起处有炎症及堆积液.用超级神医研制的外敷草药,见效快,而且能痊愈.详情可进入其诊室. "
如何尽快消除肿胀和疼痛,"关节损伤后引起周围筋骨组织损伤，脉络受损，气血凝滞，阻塞经络，出现局部疼痛和压痛，尤其活动时疼痛更重。.可通过传统中医外科膏药外帖的方法治疗.舒筋活血,消肿止痛,活血散淤,祛风散寒..使脉络畅通，气血流畅,改善周围微循环、减轻炎症反应，迅速消除肿痛.传统中医外科传膏药是一种传统黑膏药，外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而快速达到治愈目地。 "
"治好了扁平足,脚的长度变小了吗",夜明珠一般不会变形，主要是主体工没有变频没有了，行走时或者是运动是导致足底疼痛，严重的导致骨折等，主要是由于发育场可以佩戴一些，只需进行觉醒，严重的可以考虑手术治疗，手术进行矫正治疗预防肝癌，定期三个换药，伤口愈合后拆除缝线
踝关节扭伤,外伤造成的韧带受损，由于没有得到及时恢复，现在产生了粘连，针对此症，建议外敷：徐氏骨刺消成分：苍耳、律草、烧酒、冰片等功能：消肿止痛、软化疳结、活血化淤、通经活络主治：骨刺、肩周炎、腰椎间盘突出、颈椎疼痛、骨质增生；对网球肘、滑囊炎、膝盖积液，因扭伤、外伤造成的肌肉、韧带水肿、萎缩、硬结疗效甚佳。用此药将粘连的韧带分离开，症状自然消失。祝你好运 
"X型腿,可以手术矫正吗???????????",
两个脚上大拇指甲缝里总是有脏东西怎么办,您好这个不仅仅是需要你每天洗脚，而且你还要保持穿绵质的袜子保持鞋子的干燥和干净每天换袜子 
"最近活动是听到骨关节发出响声,脚关节","你好,去医院骨科看看,应该是缺钙引起的. "
从来没有腿疼的毛病，前段时间跳绳减肥,这是运动过度所致的骨关节炎。建议去医院检查。要停止运动。多休息。 
半月板损伤会引起下肢浮肿吗?,"你好,就算你是两腿的半月板都受到损伤,也不容易造成又下肢造成严重浮肿,只下肢受到扭伤,肌肉受到创伤,肌肉内部出血,才会造成下肢肿胀(并不是浮肿).如果是浮肿,可以考虑是肾炎,或长时间坐不活动才可能引起下肢浮肿.因为你是左腿半月板损伤,一般情况下是不会造成双下肢肿胀的.应考虑其实疾病造成.现在你需要先治疗的是半月板,至于肿胀问题,另外检查再治疗.半月板损伤,因自身修复很难恢复,建议你选用中医治疗,在用药方面,选用纯野生山林药材为最佳,一般用药10天可以修复,肿痛症状明显减轻,如果损伤时间不是很久,一般再用药30到40天就可以修复,肿痛消除,行走活动恢复自如.注.忌吃公鸡,鲤鱼,酸笋,燥热食物,西药,特别是含激素的药物忌吃.平时多平躺休息,少活动. "
什么是踝管综合症,
患灰趾甲好几年了，求治,你好。必须医生检查后，具体治疗。外用，内服同时进行。 
